model,family,n_conditions,n_conditions_used,n_seeds,family_mean_delta_logit,family_mean_delta_rate_pp,family_min_delta_logit,family_max_delta_logit,members_holm_sig_3of3,degraded_members_excluded
gemma-2-27b-it,critical,3,3,3,-0.596,-9.185,-0.7108,-0.5207,3,
gemma-2-27b-it,caa,1,1,3,-0.8795,-8.889,-0.8795,-0.8795,1,
gemma-2-27b-it,conformist,3,3,3,0.0312,1.259,-0.0516,0.0999,0,
gemma-2-27b-it,null_control,1,1,3,-0.2544,-2.071,-0.2544,-0.2544,0,
qwen3-32b,critical,3,3,3,-1.9314,-13.037,-2.2721,-1.6989,3,
qwen3-32b,caa,1,1,3,-1.9651,-20.889,-1.9651,-1.9651,1,
qwen3-32b,conformist,3,2,3,-0.3692,-0.778,-0.7091,-0.0294,0,pacifist
qwen3-32b,null_control,1,1,3,-1.0581,-10.287,-1.0581,-1.0581,0,
